Country,Element,Item,Year,Value,Population
United States of America,Production,Cereals - Excluding Beer,2013,433686,320051
United States of America,Import Quantity,Cereals - Excluding Beer,2013,13477,320051
United States of America,Stock Variation,Cereals - Excluding Beer,2013,-37854,320051
United States of America,Export Quantity,Cereals - Excluding Beer,2013,66303,320051
United States of America,Domestic supply quantity,Cereals - Excluding Beer,2013,343006,320051
United States of America,Feed,Cereals - Excluding Beer,2013,140096,320051
United States of America,Seed,Cereals - Excluding Beer,2013,3099,320051
United States of America,Losses,Cereals - Excluding Beer,2013,222,320051
United States of America,Processing,Cereals - Excluding Beer,2013,28607,320051
United States of America,Other uses,Cereals - Excluding Beer,2013,137181,320051
United States of America,Food,Cereals - Excluding Beer,2013,33809,320051
United States of America,Production,Starchy Roots,2013,20841,320051
United States of America,Import Quantity,Starchy Roots,2013,4212,320051
United States of America,Stock Variation,Starchy Roots,2013,120,320051
United States of America,Export Quantity,Starchy Roots,2013,3441,320051
United States of America,Domestic supply quantity,Starchy Roots,2013,21732,320051
United States of America,Feed,Starchy Roots,2013,471,320051
United States of America,Seed,Starchy Roots,2013,1208,320051
United States of America,Losses,Starchy Roots,2013,1201,320051
United States of America,Other uses,Starchy Roots,2013,886,320051
United States of America,Food,Starchy Roots,2013,17966,320051
United States of America,Production,Sugar Crops,2013,57652,320051
United States of America,Import Quantity,Sugar Crops,2013,76,320051
United States of America,Export Quantity,Sugar Crops,2013,5,320051
United States of America,Domestic supply quantity,Sugar Crops,2013,57722,320051
United States of America,Seed,Sugar Crops,2013,1738,320051
United States of America,Processing,Sugar Crops,2013,55984,320051
United States of America,Production,Sugar & Sweeteners,2013,20990,320051
United States of America,Import Quantity,Sugar & Sweeteners,2013,4174,320051
United States of America,Stock Variation,Sugar & Sweeteners,2013,-762,320051
United States of America,Export Quantity,Sugar & Sweeteners,2013,3078,320051
United States of America,Domestic supply quantity,Sugar & Sweeteners,2013,21324,320051
United States of America,Losses,Sugar & Sweeteners,2013,44,320051
United States of America,Processing,Sugar & Sweeteners,2013,53,320051
United States of America,Other uses,Sugar & Sweeteners,2013,896,320051
United States of America,Food,Sugar & Sweeteners,2013,20405,320051
United States of America,Production,Pulses,2013,2241,320051
United States of America,Import Quantity,Pulses,2013,380,320051
United States of America,Stock Variation,Pulses,2013,180,320051
United States of America,Export Quantity,Pulses,2013,1206,320051
United States of America,Domestic supply quantity,Pulses,2013,1595,320051
United States of America,Feed,Pulses,2013,165,320051
United States of America,Seed,Pulses,2013,76,320051
United States of America,Losses,Pulses,2013,1,320051
United States of America,Food,Pulses,2013,1354,320051
United States of America,Production,Treenuts,2013,2626,320051
United States of America,Import Quantity,Treenuts,2013,778,320051
United States of America,Stock Variation,Treenuts,2013,97,320051
United States of America,Export Quantity,Treenuts,2013,1715,320051
United States of America,Domestic supply quantity,Treenuts,2013,1786,320051
United States of America,Losses,Treenuts,2013,253,320051
United States of America,Food,Treenuts,2013,1533,320051
United States of America,Production,Oilcrops,2013,98793,320051
United States of America,Import Quantity,Oilcrops,2013,2897,320051
United States of America,Stock Variation,Oilcrops,2013,-253,320051
United States of America,Export Quantity,Oilcrops,2013,44073,320051
United States of America,Domestic supply quantity,Oilcrops,2013,57364,320051
United States of America,Feed,Oilcrops,2013,4363,320051
United States of America,Seed,Oilcrops,2013,2910,320051
United States of America,Losses,Oilcrops,2013,633,320051
United States of America,Processing,Oilcrops,2013,51746,320051
United States of America,Other uses,Oilcrops,2013,36,320051
United States of America,Food,Oilcrops,2013,1740,320051
United States of America,Production,Vegetable Oils,2013,11878,320051
United States of America,Import Quantity,Vegetable Oils,2013,4616,320051
United States of America,Stock Variation,Vegetable Oils,2013,76,320051
United States of America,Export Quantity,Vegetable Oils,2013,2560,320051
United States of America,Domestic supply quantity,Vegetable Oils,2013,14010,320051
United States of America,Losses,Vegetable Oils,2013,157,320051
United States of America,Processing,Vegetable Oils,2013,0,320051
United States of America,Other uses,Vegetable Oils,2013,4424,320051
