Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","231","United States of America","5511","Production","2905","Cereals - Excluding Beer","1961","1961","1000 tonnes","162982","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","231","United States of America","5511","Production","2905","Cereals - Excluding Beer","1962","1962","1000 tonnes","161619","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","231","United States of America","5511","Production","2905","Cereals - Excluding Beer","1963","1963","1000 tonnes","173848","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","231","United States of America","5511","Production","2905","Cereals - Excluding Beer","1964","1964","1000 tonnes","159959","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","231","United States of America","5511","Production","2905","Cereals - Excluding Beer","1965","1965","1000 tonnes","182639","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","231","United States of America","5511","Production","2905","Cereals - Excluding Beer","1966","1966","1000 tonnes","183342","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","231","United States of America","5511","Production","2905","Cereals - Excluding Beer","1967","1967","1000 tonnes","206966","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","231","United States of America","5511","Production","2905","Cereals - Excluding Beer","1968","1968","1000 tonnes","201135","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","231","United States of America","5511","Production","2905","Cereals - Excluding Beer","1969","1969","1000 tonnes","204099","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","231","United States of America","5511","Production","2905","Cereals - Excluding Beer","1970","1970","1000 tonnes","185716","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","231","United States of America","5511","Production","2905","Cereals - Excluding Beer","1971","1971","1000 tonnes","236534","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","231","United States of America","5511","Production","2905","Cereals - Excluding Beer","1972","1972","1000 tonnes","227018","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","231","United States of America","5511","Production","2905","Cereals - Excluding Beer","1973","1973","1000 tonnes","236450","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","231","United States of America","5511","Production","2905","Cereals - Excluding Beer","1974","1974","1000 tonnes","203094","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","231","United States of America","5511","Production","2905","Cereals - Excluding Beer","1975","1975","1000 tonnes","247590","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","231","United States of America","5511","Production","2905","Cereals - Excluding Beer","1976","1976","1000 tonnes","256729","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","231","United States of America","5511","Production","2905","Cereals - Excluding Beer","1977","1977","1000 tonnes","264711","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","231","United States of America","5511","Production","2905","Cereals - Excluding Beer","1978","1978","1000 tonnes","274772","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","231","United States of America","5511","Production","2905","Cereals - Excluding Beer","1979","1979","1000 tonnes","300876","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","231","United States of America","5511","Production","2905","Cereals - Excluding Beer","1980","1980","1000 tonnes","267927","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","231","United States of America","5511","Production","2905","Cereals - Excluding Beer","1981","1981","1000 tonnes","328482","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","231","United States of America","5511","Production","2905","Cereals - Excluding Beer","1982","1982","1000 tonnes","330783","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","231","United States of America","5511","Production","2905","Cereals - Excluding Beer","1983","1983","1000 tonnes","206151","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","231","United States of America","5511","Production","2905","Cereals - Excluding Beer","1984","1984","1000 tonnes","312653","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","231","United States of America","5511","Production","2905","Cereals - Excluding Beer","1985","1985","1000 tonnes","345080","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","231","United States of America","5511","Production","2905","Cereals - Excluding Beer","1986","1986","1000 tonnes","313317","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","231","United States of America","5511","Production","2905","Cereals - Excluding Beer","1987","1987","1000 tonnes","278536","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","231","United States of America","5511","Production","2905","Cereals - Excluding Beer","1988","1988","1000 tonnes","204113","A","Aggregate, may include official, semi-official, estimated or calculated data"
